mpl	all100	vc100	wcf100	all101	vc101	wcf101	all102	vc102	wcf102	all110	vc110	wcf110	all120	vc120	wcf120	all130	vc130	wcf130	all200	vc200	wcf200	all211	vc211	wcf211	all212	vc212	wcf212	all221	vc221	wcf221	all222	vc222	wcf222	all300	vc300	wcf300
5	0.2906	0.0158	0.2844	0.2914	0.016	0.2866	0.29	0.0242	0.2816	0.2908	0.0144	0.2846	0.2866	0.0116	0.2812	0.2966	0.018	0.289	0.2956	0.0188	0.291	0.2728	0.0018	0.2724	0.2808	0.0028	0.2802	0.277	8.0E-4	0.2766	0.2946	8.0E-4	0.2942	0.2816	0.013	0.2794
10	0.3301	0.0228	0.322	0.3242	0.0177	0.3169	0.3313	0.0186	0.3244	0.3422	0.0166	0.3356	0.3031	0.0155	0.2952	0.3248	0.0144	0.318	0.3272	0.0158	0.3213	0.3247	0.0018	0.3243	0.3365	0.0014	0.3363	0.2922	8.0E-4	0.2918	0.3296	6.0E-4	0.3291	0.3331	0.0222	0.3287
15	0.36473333333333335	0.028333333333333332	0.3545333333333333	null	null	null	0.349	0.022533333333333332	0.34213333333333334	0.32966666666666666	0.017733333333333334	0.3211333333333333	0.349	0.0168	0.3409333333333333	0.3303333333333333	0.017	0.3224	0.35486666666666666	0.017933333333333332	0.3494	0.35913333333333336	0.0016666666666666668	0.3589333333333333	0.3388	0.002	0.3384	0.3576666666666667	0.002	0.3574	0.34146666666666664	9.333333333333333E-4	0.3408	0.36446666666666666	0.022933333333333333	0.3584
20	0.3614	0.02685	0.3523	0.34815	0.0223	0.33955	0.38085	0.0246	0.37175	0.3555	0.02025	0.3471	0.36565	0.0184	0.35665	0.36805	0.01665	0.36005	0.36515	0.0212	0.3591	0.36445	0.0022	0.3639	0.37935	0.00265	0.37875	0.3587	0.00165	0.35825	0.34935	0.0013	0.3489	0.371	0.02395	0.36545
25	0.36884	0.03008	0.35796	0.3306	0.0224	0.32096	0.3586	0.03176	0.34916	0.35368	0.02036	0.34504	0.36584	0.01852	0.35712	0.33872	0.01672	0.33004	0.33524	0.01772	0.3298	0.34936	0.00336	0.34888	0.34364	0.00148	0.34332	0.36312	0.00188	0.36236	0.35132	8.4E-4	0.35088	0.34692	0.01944	0.34132
30	0.36186666666666667	0.025066666666666668	0.3536	0.36393333333333333	0.0277	0.3543	0.34296666666666664	0.0272	0.3343333333333333	0.37403333333333333	0.020533333333333334	0.36506666666666665	0.3675333333333333	0.0208	0.35706666666666664	0.3452	0.018333333333333333	0.33673333333333333	0.3437	0.020666666666666667	0.3378	0.3522	0.002033333333333333	0.3516	0.33953333333333335	0.0025	0.3384333333333333	0.35413333333333336	0.0015333333333333334	0.35386666666666666	0.3558	9.666666666666667E-4	0.35533333333333333	0.365	0.022466666666666666	0.3599333333333333
