rvsi vc wcf bv fv sv
100 0.1994 0.1783 0.012266666666666667 0.18893333333333334 0.04736666666666667 
110 0.059833333333333336 0.18816666666666668 0.013 0.0064 0.04803333333333333 
111 0.0217 0.1932 0.0128 0.007566666666666667 0.0017666666666666666 
200 0.1901 0.18026666666666666 2.0E-4 0.18663333333333335 0.0481 
201 0.18526666666666666 0.17933333333333334 3.6666666666666667E-4 0.18496666666666667 0.0016333333333333334 
211 0.0091 0.19523333333333334 3.0E-4 0.0068 0.0021333333333333334 
