keyspace  rwRatio issueDelay  otherDelay  bv  fv  sv
5 4 2 10 0.0042 0.05806666666666667 0.0018666666666666666
5 4 2 20 0.004166666666666667 0.0535 0.0021333333333333334
5 4 2 50 0.0045 0.054766666666666665 0.002266666666666667
5 4 2 100 0.004933333333333333 0.055266666666666665 0.0021333333333333334
5 4 3 10 0.004866666666666667 0.052333333333333336 0.002266666666666667
5 4 3 20 0.0039 0.053233333333333334 0.0022
5 4 3 50 0.0047 0.0553 0.002266666666666667
5 4 3 100 0.004833333333333334 0.0548 0.002266666666666667
