time,check,db
0.0 , 4689.5,4800
10.0 , 4560.5,4500
20.0 , 4485.2,4500
30.0 , 4464.8,4400
40.0 , 1802.2,3300
50.0 , 4897.8,3300
60.0 , 1750.5,3100
70.0 , 5699.5,4200
80.0 , 1750.0,3300
90.0 , 5150.0,3500
100.0 , 1950.4,3350
110.0 , 4749.6,3300
120.0 , 2000.6,3350
130.0 , 4399.4,2900
140.0 , 2050.1,3600
150.0 , 3949.9,2350
160.0 , 2213.2,3750
170.0 , 3386.8,1700
180.0 , 2443.7,3900
190.0 , 3056.3,1500
200.0 , 2400.0,3900
210.0 , 2638.0,1050
