time,f20r2400,f20r4800,f1r2400,f1r4800
0,1440,960,5760,2880
5,1440,960,5280,1920
10,1440,960,5280,2880
15,960,960,4320,1920
20,1440,960,4320,2880
25,1440,960,4320,1920
30,1440,960,2880,2880
35,1440,960,3360,1920
40,1440,960,3360,2880
45,1440,960,3360,1920
50,1440,960,2880,2880
55,1920,960,3360,1920
60,960,960,2880,1920
