param,fast,gc10k,gc20k,gc50k
5000,0.381,0.412,0.412,0.391
10000,0.473,0.505,0.482,0.472
100000,1.894,3.39,2.657,2.217
500000,8.431,43.994,26.814,15.773
1000000,17.262,155.761,86.922,45.421
