param,load,sort,check,gc
5,0.9705,0.0294,0.1757,0.4933
15,1.6895,0.0348,0.3429,0.8391
30,2.8805,0.0347,0.5875,1.5364
50,4.0581,0.0375,0.8761,2.306
100,7.7445,0.0387,1.5937,3.6315
