param,fast,gc10k,gc20k,gc50k
200,1.8147,3.1551,2.5097,2.1372
500,1.9175,3.3435,2.6492,2.2189
1000,1.94,3.3816,2.7033,2.2475
2000,1.9646,3.4215,2.714,2.2627
5000,1.9317,3.343,2.6887,2.2018
