time,f20r2400,f20r4800,f1r2400,f1r4800
0,1920,960,6720,2880
5,1920,1920,6240,2880
10,2400,960,5760,2880
15,1920,960,4800,2880
20,1920,1920,5280,2880
25,1920,960,4320,2880
30,2400,960,4320,2880
35,1920,960,3360,2880
40,1920,960,3840,1920
45,2400,1920,3360,2880
50,1440,960,3360,2880
55,1920,960,2880,2880
60,1920,1920,2880,1920
