param,online
7.152557373046875e-07,12.05078125
0.0105957984924316,26.05859375
0.0211806297302246,31.40625
0.0317533016204834,33.93359375
0.0447142124176025,38.47265625
0.0559778213500976,39.82421875
0.0671033859252929,40.8046875
0.0769798755645752,41.83984375
0.0868036746978759,43.00390625
0.0969512462615966,44.1171875
0.1071765422821044,45.0234375
0.11741304397583,45.8671875
0.1309981346130371,46.53515625
0.1441926956176757,47.4765625
0.1575238704681396,48.54296875
0.169257640838623,49.8828125
0.1825706958770752,50.34765625
0.1947546005249023,52.66015625
0.2103164196014404,53.52734375
5.205042123794556,53.52734375
5.215981721878052,53.5625
7.740736961364746,53.5625
7.756620168685913,54.1328125
7.776098251342773,54.58203125
7.791380882263184,55.91015625
7.807999134063721,56.7890625
7.827022314071655,59.00390625
7.848388671875,60.34375
7.863153457641602,64.40234375
7.880113363265991,68.24609375
7.894553899765015,70.015625
7.907693147659302,72.453125
7.921448707580566,74.03125
7.932716846466064,75.109375
7.947639226913452,76.6328125
7.970676898956299,79.40234375
7.991319179534912,81.1953125
8.006755352020264,83.84765625
8.023801565170288,85.6484375
8.036827802658081,86.421875
8.052135944366455,88.7421875
8.081814050674438,98.69921875
8.102642059326172,107.8046875
8.114485263824463,109.28125
8.126867771148682,108.69921875
8.139768838882446,109.21484375
8.151291608810425,109.47265625
8.164867639541626,108.30859375
9.537309646606444,108.30859375
9.551235914230348,112.79296875
9.5681312084198,127.80078125
9.583870887756348,129.26953125
9.597904205322266,130.81640625
9.6233012676239,133.90625
9.63649034500122,134.53125
9.652052402496338,135.8125
9.666027784347534,137.6171875
9.68019151687622,138.72265625
9.693156719207764,141.21875
9.707777738571169,141.7265625
9.72144889831543,141.73046875
9.735204935073853,144.5625
9.748645305633543,142.53515625
9.762288093566896,142.53515625
9.7751944065094,143.30859375
9.786677598953249,143.30859375
9.798259735107422,144.33984375
9.850626945495604,144.33984375
9.86264419555664,145.88671875
9.87454915046692,145.88671875
9.891074419021606,145.8515625
9.91075325012207,145.8515625
9.92438268661499,144.8203125
10.002883434295654,144.8203125
10.018390893936155,146.8828125
10.03235912322998,150.75
10.045428991317747,151.0078125
10.058918476104736,137.12890625
11.249871492385864,137.12890625
11.262122631072998,137.4453125
11.27407693862915,137.4453125
11.286473274230955,142.71875
11.303919315338137,167.0546875
11.320215940475464,167.5703125
11.348703145980837,167.5703125
11.361892461776732,168.859375
11.374157428741457,169.1171875
11.386696100234984,169.890625
11.397632122039797,175.046875
11.40876293182373,175.046875
11.42044734954834,175.2734375
11.43145513534546,175.2734375
11.442696571350098,175.7890625
11.456427335739136,176.8203125
11.482359170913696,176.8203125
11.493295192718506,177.078125
11.505476474761965,178.3671875
11.648447275161743,178.3671875
11.66269850730896,178.625
11.701247692108154,178.625
11.714348554611206,179.3984375
11.763803243637083,179.3984375
11.774969577789308,179.9140625
11.814373254776,179.9140625
11.826245307922363,180.171875
11.86301302909851,180.171875
11.875998973846436,180.4296875
11.90543007850647,180.4296875
11.920010089874268,180.6875
11.936915159225464,181.9765625
11.951425313949583,183.5234375
12.077883243560793,183.5234375
12.0916428565979,179.87109375
12.913614273071287,179.87109375
12.928386449813845,179.890625
12.941462755203249,179.890625
12.953476428985596,184.53125
12.965842008590698,210.828125
12.981117248535156,210.828125
12.992666006088257,211.33984375
13.005416870117188,211.33984375
