param,load,sort,check,gc
10,1.5623,0.0411,0.389,0.7638
30,1.5508,0.0331,0.354,0.7663
50,1.582,0.0311,0.3522,0.7534
70,1.5929,0.0274,0.336,0.7337
90,1.5267,0.0279,0.317,0.683
