param,gc10k
9.5367431640625e-07,13.6328125
0.010293245315551758,66.89453125
0.020806312561035156,80.53515625
0.030170202255249023,86.63671875
0.03958606719970703,89.99609375
0.04873919486999512,92.94921875
0.058126211166381836,100.421875
0.06945633888244629,102.734375
0.07964611053466797,103.359375
0.08898496627807617,105.53125
0.09860777854919434,107.17578125
0.10794472694396973,107.953125
0.11729168891906738,108.80078125
0.12666893005371094,111.3671875
0.13600707054138184,111.8203125
0.145127534866333,114.69921875
0.15419960021972656,115.6953125
0.16355562210083008,118.0390625
0.17371439933776855,120.6953125
0.18374991416931152,123.62890625
0.19305825233459473,123.640625
0.20233678817749023,124.0703125
0.2115480899810791,126.40234375
0.2207334041595459,134.41796875
0.2311868667602539,181.33203125
0.2415924072265625,233.42578125
0.2520017623901367,293.42578125
0.2605273723602295,317.55078125
0.2694864273071289,371.55078125
0.2787139415740967,393.65625
0.28812742233276367,489.65625
0.297229528427124,489.65625
0.30691003799438477,489.7890625
0.3184940814971924,498.6953125
0.32692980766296387,506.35546875
0.335036039352417,511.64453125
0.3430976867675781,516.80078125
0.35115814208984375,523.57421875
0.3593027591705322,530.34765625
0.3715243339538574,540.60546875
0.3927757740020752,567.2265625
0.40169596672058105,567.2265625
0.41013002395629883,567.484375
0.41821765899658203,568.0
0.4262692928314209,568.2578125
0.43738269805908203,568.2578125
0.45139384269714355,570.2578125
0.46378183364868164,570.2578125
0.4731006622314453,570.2578125
0.481778621673584,570.2578125
0.4931206703186035,570.2578125
0.5042800903320312,586.546875
0.5133070945739746,600.546875
0.5221316814422607,612.546875
0.5309667587280273,626.546875
0.5396788120269775,640.546875
0.5482902526855469,654.63671875
0.5566883087158203,666.63671875
0.5687379837036133,682.63671875
0.5802562236785889,690.2109375
0.6013574600219727,716.7890625
0.60964035987854,728.7890625
0.6177196502685547,742.7890625
0.6255838871002197,754.7890625
0.6335976123809814,766.7890625
0.6414222717285156,778.7890625
0.6491448879241943,790.7890625
0.6580698490142822,804.7890625
0.6662540435791016,816.7890625
0.6741793155670166,828.7890625
0.6821184158325195,842.7890625
0.6906871795654297,854.7890625
0.6997056007385254,868.7890625
0.7088556289672852,882.7890625
0.7253482341766357,920.95703125
0.7396328449249268,988.8515625
0.7514801025390625,1035.02734375
0.7631814479827881,1056.0078125
0.7777447700500488,1070.0078125
0.7874600887298584,1082.0078125
0.7961642742156982,1096.0078125
0.8050675392150879,1110.0078125
0.8139133453369141,1124.0078125
0.8227300643920898,1136.0078125
0.8317661285400391,1148.0078125
0.8414738178253174,1150.11328125
0.8505961894989014,1150.55859375
0.8597245216369629,1152.55859375
0.8696789741516113,1154.81640625
0.8809537887573242,1156.81640625
0.8902692794799805,1156.87109375
0.8998012542724609,1159.03515625
0.9091901779174805,1163.03515625
0.9184107780456543,1165.03515625
0.9279446601867676,1167.8046875
0.9372446537017822,1170.3203125
0.9465456008911133,1174.8359375
0.9557204246520996,1177.09375
0.9649772644042969,1181.609375
0.9742000102996826,1184.125
0.9834578037261963,1188.3828125
0.993013858795166,1190.640625
1.0023448467254639,1194.640625
1.0122020244598389,1198.8984375
1.0212981700897217,1200.8984375
1.030287265777588,1205.671875
1.0392343997955322,1207.671875
1.048034429550171,1209.9296875
1.0580668449401855,1215.734375
1.067570686340332,1219.734375
1.0766770839691162,1223.0234375
1.0859742164611816,1229.34375
1.0961189270019531,1233.6015625
1.1062116622924805,1237.6015625
1.1152896881103516,1239.6015625
1.1254024505615234,1243.83984375
1.135404109954834,1247.83984375
1.1452991962432861,1249.83984375
1.1551406383514404,1253.83984375
1.1650490760803223,1257.83984375
1.175239086151123,1259.83984375
1.185124397277832,1262.40234375
1.1942973136901855,1266.45703125
1.2028863430023193,1270.45703125
1.2114989757537842,1274.45703125
1.2202351093292236,1279.74609375
1.229095697402954,1283.74609375
1.2377395629882812,1288.26171875
1.246194839477539,1334.484375
1.2544574737548828,1391.87109375
1.2625994682312012,1391.87109375
1.2703866958618164,1391.87109375
1.2781035900115967,1391.87109375
1.2879440784454346,1391.87109375
1.2975773811340332,1391.87109375
1.307420253753662,1391.87109375
1.3168160915374756,1391.87109375
1.3246536254882812,1391.87109375
1.3326084613800049,1391.87109375
1.3405070304870605,1391.87109375
1.3481495380401611,1391.87109375
1.3577933311462402,1391.87109375
1.3672027587890625,1391.87109375
