param,load,sort,check,gc
10000,14.065,0.164,2.827,138.694
20000,14.156,0.168,2.785,69.802
50000,14.507,0.167,2.756,27.979
100000,14.203,0.162,2.765,13.934
200000,14.184,0.163,2.793,6.805
500000,14.225,0.17,2.795,2.261
fast,14.367,0.096,2.789,0
