param,fast,gc10k,gc20k,gc50k
10,5.4742,8.716,6.938,5.6283
30,5.6337,8.5981,6.7212,5.7345
50,5.3303,8.4473,6.659,5.5486
70,5.3807,8.2239,6.5959,5.2975
90,4.7423,6.2461,5.4624,4.774
