param,fast,gc10k,gc20k,gc50k
10,1.9023,3.3818,2.6716,2.2542
20,1.9167,3.3748,2.6652,2.2326
50,1.921,3.3998,2.6927,2.2667
100,1.9332,3.3819,2.7037,2.2206
200,1.9563,3.3835,2.7139,2.2651
