param,fast
0.00000095367431640625,21.140625
0.009092092514038086,65.7734375
0.01927781105041504,81.1484375
0.027668237686157227,87.11328125
0.03605151176452637,89.0
0.0446016788482666,92.15234375
0.053191423416137695,94.8046875
0.062146663665771484,102.43359375
0.07123923301696777,102.9453125
0.08017659187316895,103.70703125
0.08914732933044434,106.1171875
0.09889864921569824,107.28125
0.10717320442199707,107.5234375
0.11488699913024902,108.2265625
0.12399864196777344,111.32421875
0.1329035758972168,111.546875
0.14093494415283203,111.984375
0.1487116813659668,114.5859375
0.15764808654785156,115.3984375
0.16675472259521484,117.71484375
0.17499661445617676,120.65234375
0.1833341121673584,121.2734375
0.19163775444030762,123.83984375
0.1994037628173828,124.2109375
0.20697975158691406,124.28125
0.2144014835357666,126.68359375
0.22166776657104492,128.68359375
0.22952747344970703,148.97265625
0.23756098747253418,181.02734375
0.24505615234375,215.02734375
0.2528407573699951,243.11328125
0.26084136962890625,293.11328125
0.26847171783447266,319.23828125
0.2763509750366211,371.23828125
0.2839162349700928,371.23828125
0.29152607917785645,431.3515625
0.298933744430542,489.3515625
0.3062267303466797,489.3515625
0.3135371208190918,489.41796875
0.32219815254211426,494.65234375
0.3315999507904053,501.78125
0.3420553207397461,510.3359375
0.35265088081359863,515.4375
0.3611624240875244,519.953125
0.36909985542297363,524.2109375
0.37695884704589844,534.7265625
0.39702534675598145,562.7265625
0.40680480003356934,567.2265625
0.4151313304901123,567.2265625
0.42293429374694824,567.2265625
0.4318678379058838,567.484375
0.4436619281768799,567.484375
0.4543788433074951,569.484375
0.4649686813354492,569.52734375
0.4737379550933838,569.52734375
0.4813425540924072,569.52734375
0.49007153511047363,569.52734375
0.4996976852416992,573.82421875
0.5096049308776855,585.82421875
0.5175971984863281,597.82421875
0.5249979496002197,607.82421875
0.5324573516845703,617.82421875
0.53971266746521,629.82421875
0.5468761920928955,639.82421875
0.5543768405914307,649.82421875
0.5621159076690674,661.82421875
0.5713210105895996,681.82421875
0.5814955234527588,681.82421875
0.5910177230834961,684.82421875
0.6017274856567383,699.99609375
0.6161298751831055,717.99609375
0.6237711906433105,729.99609375
0.6327285766601562,741.99609375
0.6413419246673584,755.99609375
0.6488363742828369,765.99609375
0.6565632820129395,777.99609375
0.6643075942993164,787.99609375
0.672386646270752,799.99609375
0.6801176071166992,811.99609375
0.687645435333252,821.99609375
0.6965324878692627,835.99609375
0.705003023147583,847.99609375
0.7123630046844482,857.99609375
0.7196698188781738,867.99609375
0.7301690578460693,887.99609375
0.7427818775177002,913.99609375
0.7558014392852783,971.53125
0.7691104412078857,1022.20703125
0.7784163951873779,1056.4140625
0.8015813827514648,1087.1875
0.8176553249359131,1111.1875
0.8257536888122559,1121.1875
0.8332469463348389,1133.1875
0.8405008316040039,1143.1875
0.84781813621521,1153.1875
0.857635498046875,1155.59765625
0.8686466217041016,1156.109375
0.8775026798248291,1158.203125
0.8854866027832031,1158.203125
0.893803596496582,1162.203125
0.9031376838684082,1164.3671875
0.9118766784667969,1166.48828125
0.9193828105926514,1168.74609375
0.9268665313720703,1170.74609375
0.9345405101776123,1174.29296875
0.9418013095855713,1176.55078125
0.9496102333068848,1178.80859375
0.9573595523834229,1181.58203125
0.9647843837738037,1183.83984375
0.972050666809082,1186.61328125
0.9795534610748291,1188.61328125
0.9871056079864502,1192.87109375
0.9947421550750732,1195.12890625
1.0021920204162598,1197.12890625
1.0093531608581543,1199.12890625
1.0167648792266846,1201.38671875
1.0241868495941162,1205.38671875
1.0314044952392578,1208.16015625
1.0387074947357178,1210.16015625
1.0459976196289062,1212.16015625
1.0535492897033691,1214.93359375
1.061009168624878,1216.93359375
1.0685667991638184,1218.93359375
1.0760266780853271,1224.22265625
1.0835332870483398,1227.76953125
1.0910100936889648,1229.76953125
1.0984702110290527,1231.76953125
1.1063792705535889,1233.76953125
1.1137363910675049,1237.76953125
1.1209990978240967,1239.76953125
1.1282203197479248,1241.76953125
1.1353833675384521,1243.76953125
1.1426360607147217,1245.76953125
1.150120735168457,1247.76953125
1.1576533317565918,1251.76953125
1.1652309894561768,1253.76953125
1.1725196838378906,1255.76953125
1.1798839569091797,1257.76953125
1.1875596046447754,1259.76953125
