param,load,sort,check,gc
200,1.5111,0.0261,0.3117,0.6495
500,1.5855,0.0258,0.3179,0.7084
1000,1.5823,0.028,0.3553,0.726
2000,1.5798,0.0277,0.3679,0.7275
5000,1.5335,0.0305,0.4007,0.7124
