param,load,sort,check,gc
10,1.6715,0.0262,0.3458,0.8304
20,1.6787,0.0263,0.3413,0.8382
50,1.6925,0.0272,0.3464,0.8334
100,1.6837,0.0273,0.3505,0.8348
200,1.712,0.0286,0.3405,0.8396
