mpl vc100 wcf100 bv100 fv100 sv100 vc110 wcf110 bv110 fv110 sv110 vc111 wcf111 bv111 fv111 sv111 vc200 wcf200 bv200 fv200 sv200 vc201 wcf201 bv201 fv201 sv201 vc211 wcf211 bv211 fv211 sv211 vc212 wcf212 bv212 fv212 sv212 vc221 wcf221 bv221 fv221 sv221
5 0.0614 0.3256 0.0098 0.0524 0.0334 0.0204 0.2308 0.006 0.0038 0.017 0.0152 0.248 0.0092 0.0046 0.003 0.0408 0.234 0.0 0.0326 0.0246 0.0354 0.2624 6.0E-4 0.035 0.0036 0.0048 0.206 2.0E-4 0.0038 0.0012 0.0046 0.226 0.0012 0.0034 2.0E-4 0.0036 0.278 6.0E-4 4.0E-4 0.0032
10 0.0396 0.2689 0.008 0.0323 0.0212 0.0398 0.3577 0.0148 0.0051 0.0331 0.0208 0.3178 0.0121 0.0062 0.0047 0.0362 0.2519 7.0E-4 0.0303 0.0216 0.0464 0.3202 0.001 0.0455 0.0036 0.0077 0.2965 0.0013 0.0045 0.0036 0.005 0.3135 8.0E-4 0.0042 1.0E-4 0.0032 0.323 7.0E-4 2.0E-4 0.0029
15 0.0482 0.30033333333333334 0.009133333333333334 0.03953333333333333 0.025266666666666666 0.03306666666666667 0.322 0.011266666666666666 0.004933333333333333 0.0276 0.018133333333333335 0.3413333333333333 0.01 0.006066666666666666 0.0038666666666666667 0.0536 0.3389333333333333 5.333333333333334E-4 0.048 0.030266666666666667 0.05586666666666667 0.3522 2.666666666666667E-4 0.05566666666666667 0.0036666666666666666 0.0038 0.2428 3.333333333333333E-4 0.0020666666666666667 0.0017333333333333333 0.005933333333333333 0.314 4.6666666666666666E-4 0.0054 2.0E-4 0.0036 0.2474 9.333333333333333E-4 4.6666666666666666E-4 0.0028
20 0.06815 0.29475 0.014 0.0553 0.03695 0.03575 0.33835 0.00945 0.0063 0.0304 0.02015 0.3327 0.01315 0.0058 0.00345 0.0603 0.3321 0.001 0.0486 0.0368 0.0323 0.2753 7.5E-4 0.0316 0.0034 0.0084 0.33835 6.5E-4 0.0057 0.0038 0.0066 0.3267 9.0E-4 0.0057 2.0E-4 0.00385 0.32885 4.0E-4 5.0E-4 0.0032
25 0.06 0.31204 0.01628 0.04524 0.0334 0.03684 0.299 0.01568 0.00476 0.0298 0.03048 0.29628 0.0206 0.008 0.0046 0.06672 0.356 7.6E-4 0.0576 0.03748 0.04704 0.32604 3.6E-4 0.04668 0.00424 0.00664 0.32244 2.4E-4 0.00452 0.00256 0.00524 0.31404 7.2E-4 0.00444 2.8E-4 0.00468 0.32812 6.0E-4 4.8E-4 0.00416
30 0.0662 0.34496666666666664 0.0122 0.05533333333333333 0.03576666666666667 0.0296 0.263 0.0118 0.0047666666666666664 0.024266666666666666 0.0206 0.35613333333333336 0.012233333333333334 0.006333333333333333 0.004 0.04303333333333333 0.29536666666666667 3.6666666666666667E-4 0.036333333333333336 0.025833333333333333 0.055966666666666665 0.3387 7.333333333333333E-4 0.055266666666666665 0.0041333333333333335 0.0076 0.3207333333333333 8.0E-4 0.0049 0.003266666666666667 0.006366666666666666 0.34513333333333335 6.333333333333333E-4 0.0057 2.0E-4 0.0047 0.3272 0.001 2.666666666666667E-4 0.004066666666666666
