param,cobra(si),cobra(si-nogpu),si,oopsla
5,.5426,5.8873,0.6150,.2624
10,1.7226,48.8643,1.0863,61.7530
15,5.3070,180.0000,1.7576,122.0857
20,13.3343,180.0000,1.9273,180.0000
25,33.6046,180.0000,5.2576,180.0000
30,75.0086,180.0000,9.1420,180.0000
