param,cobra(si),cobra(si-nogpu),si,oopsla
1000,67.0333,180.0000,22.5340,180.0000
2000,49.2690,180.0000,11.3393,180.0000
3000,36.9673,180.0000,8.0943,180.0000
4000,28.8700,180.0000,5.4636,180.0000
6000,16.9636,180.0000,3.9306,180.0000
8000,17.4513,180.0000,3.7810,180.0000
10000,15.2210,180.0000,3.4900,180.0000
