param,cobra(si),cobra(si-nogpu),si,oopsla
5,2.7580,180.0000,1.0750,61.9333
10,6.9726,180.0000,1.9273,180.0000
15,13.3723,180.0000,3.4900,180.0000
20,22.1400,180.0000,5.0636,180.0000
25,32.1783,180.0000,7.4193,180.0000
30,40.0613,180.0000,10.1736,180.0000
