param,cobra(si),cobra(si-nogpu),si,oopsla
0,180.0000,180.0000,3.1946,.1397
25,86.9540,180.0000,6.4953,180.0000
50,13.0493,180.0000,3.4900,180.0000
75,2.8086,180.0000,1.9330,123.8852
100,.1870,.1723,0.7576,.1570
