param,cobra(si),cobra(si-nogpu),si,oopsla
uniform,14.2450,180.0000,3.4900,180.0000
zipfian,32.9083,180.0000,6.3930,180.0000
hotspot,31.0566,180.0000,8.1466,180.0000
