param,si,oopsla,cobra(si-nogpu),cobra(si)
1000,654.3,196,666,891
2000,475.8,176,324,560
3000,285.5,217,265,350
4000,153.1,202,230,315
6000,116.8,218,168,276
8000,91.6,359,140,250
10000,80.7,222,127,235
